raceId,driverId,position,champ_pos,year
32,21,14,19,2008
32,8,15,4,2008
32,15,\N,9,2008
32,16,\N,20,2008
32,17,\N,11,2008
32,22,\N,14,2008
32,12,\N,13,2008
33,4,1,7,2008
33,9,2,3,2008
33,8,3,4,2008
33,12,4,12,2008
33,15,5,9,2008
33,20,6,8,2008
33,13,7,2,2008
33,17,8,10,2008
33,2,9,5,2008
33,7,10,17,2008
33,3,11,13,2008
33,1,12,1,2008
33,22,13,14,2008
33,18,14,18,2008
33,6,15,15,2008
33,21,\N,19,2008
33,5,\N,6,2008
33,16,\N,20,2008
33,10,\N,11,2008
33,14,\N,16,2008
34,1,1,1,2008
34,13,2,2,2008
34,8,3,4,2008
34,4,4,6,2008
34,2,5,5,2008
34,9,6,3,2008
34,10,7,10,2008
34,12,8,12,2008
34,20,9,8,2008
34,14,10,16,2008
34,22,11,14,2008
34,6,12,15,2008
34,7,13,17,2008
34,17,14,11,2008
34,3,15,13,2008
34,18,16,18,2008
34,21,17,19,2008
34,5,\N,7,2008
34,16,\N,20,2008
34,15,\N,9,2008
35,13,1,2,2008
35,4,2,5,2008
35,8,3,3,2008
35,20,4,8,2008
35,1,5,1,2008
35,10,6,10,2008
35,5,7,7,2008
35,15,8,9,2008
35,17,9,11,2008
35,2,10,6,2008
35,9,11,4,2008
35,3,12,13,2008
35,18,13,18,2008
35,7,14,17,2008
35,22,15,14,2008
35,16,16,20,2008
35,6,17,15,2008
35,21,18,19,2008
35,12,\N,12,2008
35,14,\N,16,2008
36,8,1,1,2007
36,4,2,2,2007
36,1,3,3,2007
36,2,4,4,2007
36,21,5,5,2007
36,13,6,6,2007
36,3,7,7,2007
36,23,8,8,2007
36,15,9,9,2007
36,5,10,10,2007
36,22,11,11,2007
36,11,12,12,2007
36,17,13,13,2007
36,24,14,14,2007
36,18,15,15,2007
36,19,16,16,2007
36,16,17,17,2007
36,25,\N,0,2007
36,14,\N,0,2007
36,9,\N,0,2007
36,26,\N,0,2007
36,27,\N,0,2007
37,4,1,1,2007
37,1,2,3,2007
37,8,3,2,2007
37,2,4,4,2007
37,13,5,6,2007
37,21,6,5,2007
37,15,7,7,2007
37,5,8,9,2007
37,25,9,11,2007
37,17,10,12,2007
37,22,11,13,2007
37,18,12,15,2007
37,11,13,14,2007
37,26,14,17,2007
37,23,15,10,2007
37,19,16,18,2007
37,24,17,16,2007
37,9,18,20,2007
37,3,\N,8,2007
37,14,\N,0,2007
37,27,\N,0,2007
37,16,\N,19,2007
38,13,1,4,2007
38,1,2,3,2007
38,8,3,2,2007
38,2,4,5,2007
38,4,5,1,2007
