raceId,year,round
899,2013,19
900,2014,1
901,2014,2
902,2014,3
903,2014,4
904,2014,5
905,2014,6
906,2014,7
907,2014,8
908,2014,9
909,2014,10
910,2014,11
911,2014,12
912,2014,13
913,2014,14
914,2014,15
915,2014,16
916,2014,17
917,2014,18
918,2014,19
931,2015,6
932,2015,7
929,2015,4
930,2015,5
928,2015,3
926,2015,1
927,2015,2
933,2015,8
934,2015,9
936,2015,10
937,2015,11
938,2015,12
939,2015,13
940,2015,14
941,2015,15
942,2015,16
943,2015,17
944,2015,18
945,2015,19
948,2016,1
949,2016,2
950,2016,3
951,2016,4
952,2016,5
953,2016,6
954,2016,7
955,2016,8
956,2016,9
957,2016,10
958,2016,11
959,2016,12
960,2016,13
961,2016,14
962,2016,15
963,2016,16
964,2016,17
965,2016,18
966,2016,19
967,2016,20
968,2016,21
969,2017,1
970,2017,2
971,2017,3
972,2017,4
973,2017,5
974,2017,6
975,2017,7
976,2017,8
977,2017,9
978,2017,10
979,2017,11
980,2017,12
981,2017,13
982,2017,14
983,2017,15
984,2017,16
985,2017,17
986,2017,18
987,2017,19
988,2017,20
989,2018,1
990,2018,2
991,2018,3
992,2018,4
993,2018,5
994,2018,6
995,2018,7
996,2018,8
997,2018,9
998,2018,10
999,2018,11
1000,2018,12
1001,2018,13
1002,2018,14
1003,2018,15
1004,2018,16
1005,2018,17
1006,2018,18
1007,2018,19
1008,2018,20
1009,2018,21
1010,2019,1
1011,2019,2
1012,2019,3
1013,2019,4
1014,2019,5
1015,2019,6
1016,2019,7
1017,2019,8
1018,2019,9
1019,2019,10
1020,2019,11
1021,2019,12
1022,2019,13
1023,2019,14
1024,2019,15
1025,2019,16
1026,2019,17
1027,2019,18
1028,2019,19
1029,2019,20
1030,2019,21
1031,2020,1
1032,2020,2
1033,2020,3
1034,2020,4
1035,2020,5
1036,2020,6
1037,2020,7
1038,2020,8
1039,2020,9
1040,2020,10
1041,2020,11
1042,2020,12
1043,2020,13
1044,2020,14
1045,2020,15
1046,2020,16
1047,2020,17
1053,2021,2
1074,2022,1
1052,2021,1
1051,2021,20
1054,2021,3
1055,2021,4
1056,2021,5
1057,2021,6
1058,2021,8
1059,2021,7
1060,2021,9
1061,2021,10
1062,2021,11
1063,2021,12
1064,2021,13
1065,2021,14
1066,2021,15
1067,2021,16
1069,2021,17
1070,2021,18
1071,2021,19
1072,2021,21
1073,2021,22
1075,2022,2
1076,2022,3
1077,2022,4
1078,2022,5
1079,2022,6
1080,2022,7
1081,2022,8
1082,2022,9
1083,2022,10
1084,2022,11
1085,2022,12
1086,2022,13
1087,2022,14
1088,2022,15
1089,2022,16
1091,2022,17
1092,2022,18
1093,2022,19
1094,2022,20
1095,2022,21
1096,2022,22
1098,2023,1
1099,2023,2
1100,2023,3
1101,2023,4
1102,2023,5
1104,2023,6
1105,2023,7
1106,2023,8
1107,2023,9
1108,2023,10
1109,2023,11
1110,2023,12
1111,2023,13
1112,2023,14
1113,2023,15
1114,2023,16
1115,2023,17
1116,2023,18
1117,2023,19
1118,2023,20
1119,2023,21
1120,2023,22
