year,driver,gp,tires,from,to,laps
2012,Romain Grosjean,Spain,Soft Used,11,26,16
2012,Romain Grosjean,Spain,Hard New,27,51,25
2012,Romain Grosjean,Spain,Hard New,52,66,15
2012,Kamui Kobayashi,Spain,Soft Used,1,8,8
2012,Kamui Kobayashi,Spain,Hard New,9,26,18
2012,Kamui Kobayashi,Spain,Hard New,27,41,15
2012,Kamui Kobayashi,Spain,Hard Used,42,66,25
2012,Kimi Räikkönen,Spain,Hard New,49,66,18
2012,Sebastian Vettel,Spain,Soft Used,1,7,7
2012,Sebastian Vettel,Spain,Hard New,8,27,20
2012,Sebastian Vettel,Spain,Hard New,28,42,15
2012,Sebastian Vettel,Spain,Hard New,43,66,24
2012,Nico Rosberg,Spain,Soft Used,1,9,9
2012,Nico Rosberg,Spain,Soft Used,10,22,13
2012,Nico Rosberg,Spain,Hard New,23,40,18
2012,Nico Rosberg,Spain,Hard New,41,66,26
2012,Lewis Hamilton,Spain,Soft Used,1,14,14
2012,Lewis Hamilton,Spain,Hard New,15,35,21
2012,Lewis Hamilton,Spain,Hard New,36,66,31
2012,Jenson Button,Spain,Soft Used,1,9,9
2012,Jenson Button,Spain,Hard New,10,25,16
2012,Jenson Button,Spain,Soft Used,26,38,13
2012,Jenson Button,Spain,Hard New,39,66,28
2012,Nico Hulkenberg,Spain,Soft Used,1,10,10
2012,Nico Hulkenberg,Spain,Soft Used,11,19,9
2012,Nico Hulkenberg,Spain,Hard New,20,39,20
2012,Nico Hulkenberg,Spain,Hard New,40,65,26
2012,Mark Webber,Spain,Soft Used,1,6,6
2012,Mark Webber,Spain,Hard New,7,17,11
2012,Mark Webber,Spain,Hard New,18,40,23
2012,Mark Webber,Spain,Hard New,41,65,25
2012,Jean-Eric Vergne,Spain,Soft Used,1,10,10
2012,Jean-Eric Vergne,Spain,Hard New,11,23,13
2012,Jean-Eric Vergne,Spain,Soft Used,24,40,17
2012,Jean-Eric Vergne,Spain,Hard New,41,65,25
2012,Daniel Ricciardo,Spain,Soft Used,1,11,11
2012,Daniel Ricciardo,Spain,Hard New,12,25,14
2012,Daniel Ricciardo,Spain,Soft Used,26,39,14
2012,Daniel Ricciardo,Spain,Hard New,40,65,26
2012,Paul di Resta,Spain,Soft Used,1,9,9
2012,Paul di Resta,Spain,Soft Used,10,23,14
