Race,Cause,Deployed,Retreated,FullLaps,raceId,year,race_name,rating
2013 British Grand Prix,Stranded car,41,46.0,4,887,2013,British Grand Prix,7.394
2013 German Grand Prix,Stranded car,23,30.0,6,888,2013,German Grand Prix,7.643
2013 Singapore Grand Prix,Accident,25,31.0,5,893,2013,Singapore Grand Prix,5.973
2013 Korean Grand Prix,Debris,31,37.0,5,894,2013,Korean Grand Prix,7.351
2013 Korean Grand Prix,Vehicle on track,38,41.0,2,894,2013,Korean Grand Prix,7.351
2013 United States Grand Prix,Accident,1,5.0,4,898,2013,United States Grand Prix,5.396
2014 Australian Grand Prix,Debris from car,12,16.0,3,900,2014,Australian Grand Prix,6.89
2014 Bahrain Grand Prix,Accident,41,48.0,6,902,2014,Bahrain Grand Prix,9.095
2014 Monaco Grand Prix,Accident,1,5.0,3,905,2014,Monaco Grand Prix,7.04
2014 Monaco Grand Prix,Accident,26,32.0,5,905,2014,Monaco Grand Prix,7.04
2014 Canadian Grand Prix,Accident,1,8.0,6,906,2014,Canadian Grand Prix,9.19
2014 British Grand Prix,Accident,1,3.0,1,908,2014,British Grand Prix,7.85
2014 German Grand Prix,Accident,1,3.0,1,909,2014,German Grand Prix,7.86
2014 Hungarian Grand Prix,Two accidents,9,14.0,4,910,2014,Hungarian Grand Prix,9.14
2014 Hungarian Grand Prix,Accident,23,28.0,4,910,2014,Hungarian Grand Prix,9.14
2014 Singapore Grand Prix,Debris from accident,31,38.0,6,913,2014,Singapore Grand Prix,6.43
2014 Japanese Grand Prix,Rain,1,3.0,2,914,2014,Japanese Grand Prix,
2014 Japanese Grand Prix,Rain,3,9.0,6,914,2014,Japanese Grand Prix,
2014 Japanese Grand Prix,Accident,44,,4,914,2014,Japanese Grand Prix,
2014 United States Grand Prix,Accident,1,5.0,3,916,2014,United States Grand Prix,7.33
2015 Australian Grand Prix,Accident,1,4.0,2,926,2015,Australian Grand Prix,4.75
2015 Malaysian Grand Prix,Accident,4,7.0,2,927,2015,Malaysian Grand Prix,8.37
2015 Chinese Grand Prix,Stranded car,54,,2,928,2015,Chinese Grand Prix,5.72
2015 Monaco Grand Prix,Accident,59,71.0,11,931,2015,Monaco Grand Prix,5.63
2015 Austrian Grand Prix,Accident,1,7.0,5,933,2015,Austrian Grand Prix,5.6
2015 British Grand Prix,Accident,1,4.0,2,934,2015,British Grand Prix,7.95
2015 Hungarian Grand Prix,Accident,43,49.0,5,936,2015,Hungarian Grand Prix,9.11
2015 Singapore Grand Prix,Man on track,37,41.0,3,939,2015,Singapore Grand Prix,6.55
2015 Russian Grand Prix,Accident,1,4.0,2,941,2015,Russian Grand Prix,6.96
2015 Russian Grand Prix,Accident,12,18.0,5,941,2015,Russian Grand Prix,6.96
2015 United States Grand Prix,Stranded car,28,33.0,4,942,2015,United States Grand Prix,9.1
2015 United States Grand Prix,Accident,43,47.0,3,942,2015,United States Grand Prix,9.1
2015 Mexican Grand Prix,Accident,53,58.0,4,943,2015,Mexican Grand Prix,5.44
2016 Australian Grand Prix,Accident,17,20.0,2,948,2016,Australian Grand Prix,7.757
2016 Chinese Grand Prix,Debris from car,4,10.0,5,950,2016,Chinese Grand Prix,7.853
2016 Russian Grand Prix,Accident,1,4.0,2,951,2016,Russian Grand Prix,5.32
2016 Monaco Grand Prix,Rain,1,8.0,7,953,2016,Monaco Grand Prix,7.81
2016 Austrian Grand Prix,Debris from car,27,32.0,4,956,2016,Austrian Grand Prix,8.02
2016 British Grand Prix,Rain,1,6.0,5,957,2016,British Grand Prix,6.47
2016 Mexican Grand Prix,Accident,1,4.0,2,966,2016,Mexican Grand Prix,5.91
2016 Brazilian Grand Prix,Rain,1,7.0,6,967,2016,Brazilian Grand Prix,8.2
2016 Brazilian Grand Prix,Accident,13,20.0,6,967,2016,Brazilian Grand Prix,8.2
2016 Brazilian Grand Prix,Rain,21,32.0,11,967,2016,Brazilian Grand Prix,8.2
2016 Brazilian Grand Prix,Accident,48,56.0,7,967,2016,Brazilian Grand Prix,8.2
2017 Chinese Grand Prix,Accident,4,8.0,3,970,2017,Chinese Grand Prix,7.5
2017 Bahrain Grand Prix,Accident,16,18.0,1,971,2017,Bahrain Grand Prix,7.9
2017 Russian Grand Prix,Accident,1,4.0,2,972,2017,Russian Grand Prix,4.9
2017 Monaco Grand Prix,Accident,60,68.0,7,974,2017,Monaco Grand Prix,4.93
2017 Canadian Grand Prix,Accident,1,4.0,2,975,2017,Canadian Grand Prix,7.63
2017 Azerbaijan Grand Prix,Stranded car,12,17.0,4,976,2017,Azerbaijan Grand Prix,8.8
2017 Azerbaijan Grand Prix,Debris from car,17,20.0,2,976,2017,Azerbaijan Grand Prix,8.8
2017 Azerbaijan Grand Prix,Debris from accident,20,24.0,3,976,2017,Azerbaijan Grand Prix,8.8
2017 British Grand Prix,Accident,1,6.0,4,978,2017,British Grand Prix,6.51
2017 Hungarian Grand Prix,Accident,4,7.0,2,979,2017,Hungarian Grand Prix,5.9
2017 Belgian Grand Prix,Debris from accident,30,35.0,4,980,2017,Belgian Grand Prix,7.25
2017 Singapore Grand Prix,Accident,1,5.0,3,982,2017,Singapore Grand Prix,6.4
2017 Singapore Grand Prix,Accident,11,15.0,3,982,2017,Singapore Grand Prix,6.4
2017 Singapore Grand Prix,Accident,38,42.0,3,982,2017,Singapore Grand Prix,6.4
2017 Japanese Grand Prix,Accident,1,4.0,2,984,2017,Japanese Grand Prix,6.1
2017 Brazilian Grand Prix,Accident,1,7.0,5,987,2017,Brazilian Grand Prix,6.74
2018 Australian Grand Prix,Stranded car,29,32.0,2,989,2018,Australian Grand Prix,6.1
2018 Chinese Grand Prix,Debris from accident,31,35.0,3,991,2018,Chinese Grand Prix,8.59
2018 Azerbaijan Grand Prix,Two accidents,1,6.0,4,992,2018,Azerbaijan Grand Prix,8.57
2018 Azerbaijan Grand Prix,Two accidents,40,48.0,7,992,2018,Azerbaijan Grand Prix,8.57
2018 Spanish Grand Prix,Accident,1,7.0,5,993,2018,Spanish Grand Prix,4.85
2018 Canadian Grand Prix,Accident,1,5.0,3,995,2018,Canadian Grand Prix,4.24
2018 French Grand Prix,Accident,1,6.0,4,996,2018,French Grand Prix,6.47
2018 British Grand Prix,Accident,33,38.0,4,998,2018,British Grand Prix,8.69
2018 British Grand Prix,Accident,38,42.0,3,998,2018,British Grand Prix,8.69
2018 German Grand Prix,Accident,52,58.0,5,999,2018,German Grand Prix,8.12
2018 Belgian Grand Prix,Accident,1,5.0,3,1001,2018,Belgian Grand Prix,5.29
2018 Italian Grand Prix,Accident,1,3.0,1,1002,2018,Italian Grand Prix,
2018 Singapore Grand Prix,Accident,1,5.0,3,1003,2018,Singapore Grand Prix,
2018 Japanese Grand Prix,Debris from accident,3,8.0,4,1005,2018,Japanese Grand Prix,
